Door;UPC;Model Code;Color Name Description;Color Code;Size;Category;Lens Color;Model Name Description;Suggested Retail Price;Wholesale Price;Lens Base;Lens Material;Photochromic;Polarized;Standard;Temple Length ;Bridge Size;Lens Witdth;Lens Height;Folding;Crystals;Rx-Service;Rx-Able;Flex;Geofit;Front Colour Family ;Shape;Type;Temple Material ;Front Material ;Best Seller;Range;Gender;Collection;Limited Edition;New;Advertising;Theme;Items;Brand Name;Brand Code;
0021002876;8053672535532;0VO5037;BLACK;W44;51;Eyewear;DEMO LENS;;119.95;45.36;Base 4;;N;N;N;140;17;51.0;40.6;N;N;N;N;N;;BLACK;Oval;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;N;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672535556;0VO5037;DARK HAVANA;W656;51;Eyewear;DEMO LENS;;119.95;45.36;Base 4;;N;N;N;140;17;51.0;40.6;N;N;N;N;N;;HAVANA;Oval;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;N;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672537413;0VO5031S;TOP DK HAVANA/LT BROWN TRANSP;238613;58;Eyewear;BROWN GRADIENT;;89.95;41.95;Base 6 Decentered;PLAST;N;N;Y;135;16;57.9;42.8;N;N;N;Y;N;;HAVANA;Rectangle;Full Rim;Plastic;Plastic;Y;21-35;Woman;Sun;N;N;N;CASUAL CHIC;ZPFN;Vogue;VO;
0021002876;8053672610567;0VO2714;OPAL DARK VIOLET;2230;52;Eyewear;DEMO LENS;;119.95;45.36;Base 4;;N;N;N;140;16;52.0;37.0;N;N;N;Y;N;;VIOLET;Square;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;N;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672012323;0VO2787;TOP HAVANA/TRANSPARENT;1916;51;Eyewear;DEMO LENS;;119.95;45.36;Base 4;PLAST;N;N;Y;140;16;51.0;36.3;N;N;N;Y;Y;;HAVANA;Square;Full Rim;Plastic;Plastic;Y;21-35;Woman;Optical;N;N;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672426458;0VO2787;DK VIOLET/LILAC/VIOLET TR;2277;51;Eyewear;DEMO LENS;;119.95;45.36;Base 4;;N;N;N;140;16;51.0;36.3;N;N;N;Y;Y;;VIOLET;Square;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;Y;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672012477;0VO2789B;BLACK;W44;52;Eyewear;DEMO LENS;;149.95;58.34;Base 4;PLAST;N;N;Y;135;16;52.0;31.0;N;Y;N;Y;Y;;BLACK;Butterfly;Full Rim;Plastic;Plastic;N;35-50;Woman;Optical;N;N;N;TIMELESS;ZPFN;Vogue;VO;
0021002876;805289351344;0VO2606S;BLACK;W44/87;55;Eyewear;GRAY;;79.95;35.17;Base 6;PLAST;N;N;Y;135;15;55.0;39.2;N;N;N;Y;N;GLOBAL;BLACK;Rectangle;Full Rim;Plastic;Plastic;N;21-35;Woman;Sun;N;N;N;CASUAL CHIC;ZPFN;Vogue;VO;
0021002876;8053672611090;0VO2606S;TOP VIOLET/VIOLET TRANSP;24098H;55;Eyewear;VIOLET GRADIENT;;79.95;35.17;Base 6;PLAST;N;N;Y;135;15;55.0;39.2;N;N;N;Y;N;;VIOLET;Rectangle;Full Rim;Plastic;Plastic;N;21-35;Woman;Sun;N;N;N;CASUAL CHIC;ZPFN;Vogue;VO;
0021002876;8053672611076;0VO2606S;TOP BORDEAUX/OPAL PINK;244914;55;Eyewear;VIOLET GRADIENT BROWN;;79.95;35.17;Base 6;PLAST;N;N;Y;135;15;55.0;39.2;N;N;N;Y;N;;BORDEAUX;Rectangle;Full Rim;Plastic;Plastic;N;21-35;Woman;Sun;N;N;N;CASUAL CHIC;ZPFN;Vogue;VO;
0021002876;8053672365856;0VO3845B;MATTE BORDEAUX;717S;52;Eyewear;DEMO LENS;;149.95;58.34;Base 4;;N;N;N;135;16;52.0;31.4;N;Y;N;Y;Y;;BORDEAUX;Pillow;Full Rim;Plastic;Metal;N;35-50;Woman;Optical;N;Y;N;TIMELESS;ZPFN;Vogue;VO;
0021002876;8053672107234;0VO2832SB;BLACK;W44/11;57;Eyewear;GRAY GRADIENT;;99.95;45.35;Base 6 Decentered;PLAST;N;N;Y;135;18;56.9;48.8;N;Y;N;Y;Y;GLOBAL;BLACK;Square;Full Rim;Plastic;Plastic;N;35-50;Woman;Sun;N;N;N;TIMELESS;ZPFN;Vogue;VO;
0021002876;8053672195835;0VO2843S;TOP CRYST METAL MT VIOLET;21518J;56;Eyewear;POLAR VIOLET GRADIENT;;100.00;44.00;Base 6 Decentered;PLAST;N;Y;N;135;16;56.3;47.3;N;Y;N;Y;N;GLOBAL;CLEAR;Square;Full Rim;Plastic;Plastic;N;35-50;Woman;Sun;Y;N;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672739336;0VO2843S;OPAL PINK;25355R;56;Eyewear;;;79.95;35.17;Base 6 Decentered;PLAST;N;N;Y;135;16;56.3;47.3;N;Y;N;Y;N;;PINK;Square;Full Rim;Plastic;Plastic;N;35-50;Woman;Sun;N;Y;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672610918;0VO2896S;DARK HAVANA;W6565R;54;Eyewear;DARK GREY MIRROR PINK;;79.95;35.17;Base 6 Decentered;PLAST;N;N;Y;140;17;54.7;45.7;N;N;N;Y;N;;HAVANA;Square;Full Rim;Plastic;Plastic;N;21-35;Woman;Sun;N;N;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672236279;0VO2893;DARK GREEN;2193;53;Eyewear;DEMO LENS;;112.00;44.54;Base 4;;N;N;N;145;16;52.8;32.6;N;N;N;N;N;;GREEN;Rectangle;Full Rim;Plastic;Plastic;N;21-35;Man;Optical;N;N;N;MAN (VO);ZPFN;Vogue;VO;
0021002876;8053672239089;0VO2877;MATTE CYCALMEN;2216S;53;Eyewear;DEMO LENS;;99.95;40.29;Base 4;;N;N;N;140;16;53.0;32.1;N;N;N;N;N;;PINK;Pillow;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;N;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672293562;0VO2907;BLACK;W44;54;Eyewear;DEMO LENS;;119.95;45.36;Base 4;;N;N;N;140;18;54.0;41.6;N;N;N;N;Y;;BLACK;Square;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;N;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672293579;0VO2907;DARK HAVANA;W656;54;Eyewear;DEMO LENS;;119.95;45.36;Base 4;;N;N;N;140;18;54.0;41.6;N;N;N;N;Y;;HAVANA;Square;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;N;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672416558;0VO2911;BROWN/ORANGE/TR RED;2312;53;Eyewear;DEMO LENS;;119.95;45.36;Base 4;;N;N;N;140;17;53.0;37.7;N;N;N;N;Y;GLOBAL;BROWN;Pillow;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;Y;N;CASUAL CHIC;ZPFN;Vogue;VO;
0021002876;8053672293678;0VO2908;BLACK;W44;53;Eyewear;DEMO LENS;;119.95;45.36;Base 4;;N;N;N;140;16;53.0;37.5;N;N;N;N;Y;;BLACK;Pillow;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;N;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672293630;0VO2908;DARK HAVANA;W656;51;Eyewear;DEMO LENS;;119.95;45.36;Base 4;;N;N;N;140;16;51.0;36.0;N;N;N;N;Y;;HAVANA;Pillow;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;N;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672294262;0VO3946;GUNMETAL;548;52;Eyewear;DEMO LENS;;133.00;53.04;Base 4;;N;N;N;137;16;52.0;36.0;N;N;N;N;Y;;GUNMETAL;Pillow;Full Rim;Plastic;Metal;N;21-35;Woman;Optical;N;N;N;CASUAL CHIC;ZPFN;Vogue;VO;
0021002876;8053672299052;0VO2915S;TOP BROWN/GLITTER BROWN;225913;53;Eyewear;BROWN GRADIENT;;79.95;35.17;Base 6 Decentered;PLAST;N;N;Y;145;19;52.9;46.5;N;N;N;Y;N;GLOBAL;BROWN;Phantos;Full Rim;Plastic;Plastic;N;21-35;Woman;Sun;N;N;N;CASUAL CHIC;ZPFN;Vogue;VO;
0021002876;8053672353198;0VO2937;BLUETTE/ORANGE/AZURE TR;2278;53;Eyewear;DEMO LENS;;119.95;45.36;Base 4;;N;N;N;140;17;53.0;42.1;N;N;N;N;Y;GLOBAL;BLUE;Oval;Full Rim;Plastic;Plastic;N;21-35;Woman;Optical;N;Y;N;IN VOGUE;ZPFN;Vogue;VO;
0021002876;8053672353235;0VO3963;BLACK;352;51;Eyewear;DEMO LENS;;119.95;45.36;Base 4;;N;N;N;140;18;51.0;38.6;N;N;N;N;N;;BLACK;Square;Full Rim;Plastic;Metal;N;21-35;Woman;Optical;N;Y;N;IN VOGUE;ZPFN;Vogue;VO;
